1,S,1,INGRESOS
1,S,11,INGRESOS CORRIENTES  TRIBUTARIOS
1,D,1110,IMPUESTOS INDIRECTOS
1,D,1115,IMPUESTOS DIRECTOS
1,S,12,INGRESOS CORRIENTES  NO TRIBUTARIOS
1,D,1210,TRANSFERENCIAS SGP
1,D,1212,OTRAS TRANSFERENCIAS
1,D,1215,OTROS NO TRIBUTARIOS  EXPLOTACION
1,D,1220,APORTES- CONVENIOS Y CON.
1,D,1225,FONDO TERRITORIAL DE PENSIONADOS
1,D,1230,CONTRIBUCIONES
1,D,1235,INTERESES
1,D,1240,MULTAS Y SANCIONES
1,D,1245,TASAS
1,D,1250,VENTA DE BIENES COMERCIALIZABLES Y SERVICIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO
1,D,1255,VENTA DE BIENES COMERCIALIZABLES Y SERVICIOS DE ENERGIA
1,D,1260,VENTA DE BIENES COMERCIALIZABLES Y SERVICIOS DE SALUD
1,S,13,INGRESOS DE CAPITAL
1,D,1310,RECURSOS DEL BALANCE
1,D,1315,RECURSOS DEL CREDITO INTERNO
1,D,1320,RECURSOS DEL CREDITO EXTERNO
1,D,1325,OTROS INGRESOS DE CAPITAL
1,S,14,RENTAS PARAFISCALES
1,D,1401,RENTAS PARAFISCALES
1,S,15,FONDOS ESPECIALES
1,D,1501,FONDOS ESPECIALES
1,S,16,VENTA DE SERVICIOS ESTABLECIMIENTOS PUBLICOS
1,D,1601,SALUD
1,D,1602,EDUCACION
1,D,1603,TRANSITO Y TRANSPORTE
1,D,1604,CULTURA Y DEPORTES
1,D,1605,VIVIENDA
1,D,1606,FINANCIEROS
1,S,17,VENTA DE SERVICIOS EMPRESAS INDUSTRIALES Y COMERCIALES Y ASIMILADAS
1,D,1701,SALUD
1,D,1702,SERVICIOS PUBLICOS DOMICILIARIOS
1,D,1703,JUEGOS
1,D,1704,IMPRESOS Y PUBLICACIONES
1,S,18,DIPONIBILIDAD INICIAL
1,D,1801,RECURSOS PROPIOS
1,D,1802,FONDOS ESPECIALES
2,S,A,GASTOS DE FUNCIONAMIENTO
2,D,A1,GASTOS DE PERSONAL
2,D,A2,GASTOS GENERALES
2,D,A3,TRANSFERENCIAS CORRIENTES
2,D,A4,TRANSFERENCIAS DE CAPITAL
2,S,B,SERVICIO DE LA DEUDA PUBLICA
2,D,B1,DEUDA PUBLICA
2,S,C,INVERSION
2,D,C1,INVERSION - RECURSOS PROPIOS
2,S,C2,SISTEMA GENERAL DE PARTICIPACIONES
2,D,C2A,SALUD
2,D,C2B,EDUCACION
2,D,C2C,AGUA POTABLE Y SANEAMIENTO BASICO
2,D,C2D,DEPORTE Y RECREACION
2,D,C2E,CULTURA
2,D,C2F,MEDIP AMBIENTE
2,D,C2G,GOBIERNO DESARROLLO INSTITUCIONAL
2,D,C2H,VÍAS y TRANSPORTE
2,D,C2I,VIVIENDA
2,D,C2J,AGROPECUARIO
2,D,C2K,GRUPOS VULNERABLES
2,D,C2L,OTROS SECTORES DE INVERSION
2,S,C3,INVERSION OTROS RECURSOS
2,S,D,GASTOS DE OPERACION ESTABLECIMIENTOS PUBLICOS
2,D,D1,SALUD
2,D,D2,EDUCACION
2,D,D3,TRANSITO Y TRANSPORTE
2,D,D4,CULTURA Y DEPORTES
2,D,D5,VIVIENDA
2,D,D6,FINANCIEROS
2,S,E,GASTOS DE OPERACION EMPRESAS INDUSTRIALES Y COMERCIALES Y ASIMILADAS
2,D,E1,SALUD
2,D,E2,SERVICIOS PUBLICOS DOMICILIARIOS
2,D,E3,JUEGOS DE SUERTE Y AZAR
2,D,E4,COMERCIALIZACION
2,D,E5,PRODUCCION
2,S,F,DIPONIBILIDAD FINAL
2,D,F1,DISPONIBILIDAD FINAL
3,D,TP1, Para  la Nomina
3,D,TP2, Contribuciones Inherentes a la Nomina
3,D,TP3, Prestaciones Sociales
3,D,TP4, Viaticos y Gastos de Transporte
3,D,TP5, Servicio de la Deuda
3,D,C9,Seguros
3,D,C12,Otros
3,D,C1,contrato de prestacion de servicios
3,D,C2,Consultorías
3,D,C3,Mantenimiento y/o Reparación
3,D,C4,Obra Pública
3,D,C5,Compra Ventas y o Suministro
3,D,C6,Concesion
3,D,C7,Comodatos
3,D,C8,Arrendamientos
3,D,C10,Convenios
3,D,C11,Emprestitos
