1.0,MUNICIPIOS  - INGRESOS CORRIENTES DE LIBRE DESTINACIÓN DIFERENTES A LA PARTICIPACIÓN DE PROPOSITO GENERAL DE LIBRE DESTINACIÓN ,,
2.0,MUNICIPIOS - PARTICIPACIÓN DE PROPOSITO GENERAL DE LIBRE DESTINACIÓN MPIOS DE CATEGORIA 4, 5 Y 6,
3.0,DEPARTAMENTOS - INGRESOS CORRIENTES DE LIBRE DESTINACION,,
4.0,SGP EDUCACIÓN CUOTA DE ADMINISTRACIÓN,,
5.0,RENTAS CEDIDAS,,
6.0,TRANSFERENCIAS DE OTRAS ENTIDADES PARA PAGO DE PENSIONES Y/O CESANTÍAS,,
7.0,TRANSFERENCIAS Y APORTES MUNICIPALES,,
8.0,TRANSFERENCIAS Y APORTES DEPARTAMENTALES,,
9.0,REGALÍAS Y COMPENSACIONES,,
10.0,IMPUESTO DE TRANSPORTE POR OLEODUCTOS Y GASODUCTOS,,
11.0,RECURSOS DEL BALANCE,,
12.0,RENDIMIENTOS FINANCIEROS LIBRE DESTINACIÓN,,
13.0,RENDIMIENTOS FINANCIEROS FORZOSA INVERSIÓN,,
14.0,CUOTAS PARTES PENSIONALES TRANSFERIDAS POR OTRAS ENTIDADES,,
15.0,ESTAMPILLAS,,
16.0,SOBRETASA O PARTICIPACION AMBIENTAL,,
17.0,VENTA DE ACTIVOS,,
18.0,SOBRETASA BOMBERIL,,
19.0,VENTA DE BIENES Y SERVICIOS,,
20.0,REGISTRO Y ANOTACIÓN,,
21.0,SOBRETASA A LA GASOLINA,,
31.0,OTRAS FUENTES DIFERENTES A LAS ANTERIORES,,
32.0,NO APLICA,,
100.0,INGRESOS CORRIENTES DE LIBRE DESTINACION EXCEPTO EL 42% DE LIBRE DESTINACIÓN DE PROPOSITO GENERAL DE MPIOS DE CATEGORIA 4, 5 Y 6,
110.0,INGRESOS CORRIENTES CON DESTINACION ESPECIFICA - RECURSOS PROPIOS,,
120.0,SGP ALIMENTACION ESCOLAR SALDOS NO EJECUTADOS VIGENCIAS ANTERIORES,,
