1,ACTIVO ,33204910.00,0.00
11,EFECTIVO ,460923.24,0.00
1110,DEP_SITOS EN INSTITUCIONES FINANCIERAS ,460923.24,0.00
111005,CUENTA CORRIENTE ,460923.24,0.00
11100501,banco bbva cta 0445-0100018591 ,416973.10,0.00
11100503,personeria municipal aldana 216000281 ,43950.14,0.00
13,DEUDORES ,16822986.76,0.00
1337,TRANSFERENCIAS POR COBRAR ,93926.00,0.00
133712,Otras transferencias ,93926.00,0.00
1384,OTROS DEUDORES ,16729060.76,0.00
138490,Otros deudores ,16729060.76,0.00
16,PROPIEDADES PLANTA Y EQUIPO ,15921000.00,0.00
1665,MUEBLES ENSERES Y EQUIPOS DE OFICINA ,3535000.00,0.00
166501,Muebles y enseres ,3535000.00,0.00
1670,EQUIPOS DE COMUNICACI_N Y COMPUTACI_N ,12386000.00,0.00
167002,Equipo de computacion ,12386000.00,0.00
2,PASIVOS ,0.00,17283910.00
24,CUENTAS POR PAGAR ,0.00,4784084.00
2401,ADQUISICIÓN DE BIENES Y SERVICIOS NACIONALES ,0.00,3500000.00
240101,bienes y servicios ,0.00,3500000.00
2424,DESCUENTOS DE NOMINA ,0.00,742284.00
242401,Aportes a fondos pensionales ,0.00,565756.00
242402,Aportes a seguridad social en salud ,0.00,176528.00
2490,OTRAS CUENTAS POR PAGAR ,0.00,541800.00
249034,"APORTES A ESCUELAS INDUSTRIALES, INSTITUTOS TÉCNICOS Y ESAP ",0.00,162800.00
24903401,esap ,0.00,54400.00
24903402,institutos tecnicos ,0.00,108400.00
249050,APORTES AL ICBF Y SENA ,0.00,379000.00
24905001,icbf ,0.00,324600.00
24905002,sena ,0.00,54400.00
25,BENEFICIOS A LOS EMPLEADOS ,0.00,12499826.00
2511,BENEFICIOS A LOS EMPLEADOS A CORTO PLAZO ,0.00,12499826.00
251101,Nomina por pagar ,0.00,19800.00
251102,cesantias ,0.00,5200256.00
251103,intereses sobre cesantias ,0.00,624031.00
251104,vacaciones ,0.00,1609617.00
251105,prima de vacaciones ,0.00,1470222.00
251111,aportes a riesgos laborales ,0.00,56600.00
251122,aportes pension - empleador ,0.00,2166900.00
251123,aportes salud - empleador ,0.00,919600.00
251124,aportes a cajas de compensación familiar ,0.00,432800.00
3,PATRIMONIO ,0.00,15921000.00
31,HACIENDA P_BLICA ,0.00,15921000.00
3105,CAPITAL FISCAL ,0.00,14183532.98
310506,Municipio ,0.00,14183532.98
3109,RESULTADOS DE EJERCICIOS ANTERIORES ,0.00,1737467.02
310901,utilidades o excedentes acumulados ,0.00,1737467.02
