2015/10/01,226261
2015/10/01,482000
2015/10/02,238986
2015/10/02,2066712
2015/10/05,65000
2015/10/05,75588
2015/10/05,7133000
2015/10/07,95516
2015/10/07,770592
2015/10/08,2332000
2015/10/13,143000
2015/10/13,221423
2015/10/13,323000
2015/10/15,82051
2015/10/15,146000
2015/10/15,193000
2015/10/16,50000
2015/10/16,102000
2015/10/16,117303
2015/10/16,117303
2015/10/19,210155
2015/10/19,369000
2015/10/20,89758
2015/10/20,129700
2015/10/20,310000
2015/10/20,319000
2015/10/20,321000
2015/10/20,355000
2015/10/20,395000
2015/10/21,126000
2015/10/22,54943
2015/10/22,98750
2015/10/26,48000
2015/10/26,48000
2015/10/26,111492
2015/10/27,829621
2015/10/28,50000
2015/10/28,89923
2015/10/28,324000
2015/10/30,175397
2015/10/30,789000
2015/10/30,1025432
2015/10/01,78466
2015/10/01,4122000
2015/10/13,1328
